"trainer/global_step","best style a mix - _step","best style a mix - _step__MIN","best style a mix - _step__MAX","best style a mix - train_eiko_epoch","best style a mix - train_eiko_epoch__MIN","best style a mix - train_eiko_epoch__MAX","best curve a mix - _step","best curve a mix - _step__MIN","best curve a mix - _step__MAX","best curve a mix - train_eiko_epoch","best curve a mix - train_eiko_epoch__MIN","best curve a mix - train_eiko_epoch__MAX","best curve a meta - _step","best curve a meta - _step__MIN","best curve a meta - _step__MAX","best curve a meta - train_eiko_epoch","best curve a meta - train_eiko_epoch__MIN","best curve a meta - train_eiko_epoch__MAX","best style a meta - _step","best style a meta - _step__MIN","best style a meta - _step__MAX","best style a meta - train_eiko_epoch","best style a meta - train_eiko_epoch__MIN","best style a meta - train_eiko_epoch__MAX"
"2750","2750","2750","2750","0.0011691828093025832","0.0011691828093025832","0.0011691828093025832","2750","2750","2750","0.003937492955941707","0.003937492955941707","0.003937492955941707","2750","2750","2750","0.012524846849031747","0.012524846849031747","0.012524846849031747","2750","2750","2750","0.005724178054369986","0.005724178054369986","0.005724178054369986"
"3000","3000","3000","3000","0.0011224299789173529","0.0011224299789173529","0.0011224299789173529","3000","3000","3000","0.00383426057966426","0.00383426057966426","0.00383426057966426","3000","3000","3000","0.011276697802823038","0.011276697802823038","0.011276697802823038","3000","3000","3000","0.005501322695985436","0.005501322695985436","0.005501322695985436"
"3250","3250","3250","3250","0.0010797234234632925","0.0010797234234632925","0.0010797234234632925","3250","3250","3250","0.003807868207572028","0.003807868207572028","0.003807868207572028","3250","3250","3250","0.0107170280655846","0.0107170280655846","0.0107170280655846","3250","3250","3250","0.005283786208368838","0.005283786208368838","0.005283786208368838"
"3500","3500","3500","3500","0.0010421710541704669","0.0010421710541704669","0.0010421710541704669","3500","3500","3500","0.0037331090713851153","0.0037331090713851153","0.0037331090713851153","3500","3500","3500","0.010440872439183294","0.010440872439183294","0.010440872439183294","3500","3500","3500","0.005100924217142165","0.005100924217142165","0.005100924217142165"
"3750","3750","3750","3750","0.001003050048253499","0.001003050048253499","0.001003050048253499","3750","3750","3750","0.003670034866547212","0.003670034866547212","0.003670034866547212","3750","3750","3750","0.01069168582605198","0.01069168582605198","0.01069168582605198","3750","3750","3750","0.004814965426921844","0.004814965426921844","0.004814965426921844"
"4000","4000","4000","4000","0.0009713436175370589","0.0009713436175370589","0.0009713436175370589","4000","4000","4000","0.003735683265607804","0.003735683265607804","0.003735683265607804","4000","4000","4000","0.011213336751796305","0.011213336751796305","0.011213336751796305","4000","4000","4000","0.004527637642808258","0.004527637642808258","0.004527637642808258"
"4250","4250","4250","4250","0.0009372498882003128","0.0009372498882003128","0.0009372498882003128","4250","4250","4250","0.004232722082175315","0.004232722082175315","0.004232722082175315","4250","4250","4250","0.010127946630120278","0.010127946630120278","0.010127946630120278","4250","4250","4250","0.004058982021640986","0.004058982021640986","0.004058982021640986"
"4500","4500","4500","4500","0.0009159192168153822","0.0009159192168153822","0.0009159192168153822","4500","4500","4500","0.003608795675681904","0.003608795675681904","0.003608795675681904","4500","4500","4500","0.010180314728058875","0.010180314728058875","0.010180314728058875","4500","4500","4500","0.003683089549187571","0.003683089549187571","0.003683089549187571"
"4750","4750","4750","4750","0.0008912477409467101","0.0008912477409467101","0.0008912477409467101","4750","4750","4750","0.003518088245764375","0.003518088245764375","0.003518088245764375","4750","4750","4750","0.010623075409792364","0.010623075409792364","0.010623075409792364","4750","4750","4750","0.003278938394039869","0.003278938394039869","0.003278938394039869"
"5000","5000","5000","5000","0.0008706979418639094","0.0008706979418639094","0.0008706979418639094","5000","5000","5000","0.00348117196187377","0.00348117196187377","0.00348117196187377","5000","5000","5000","0.010382696626707912","0.010382696626707912","0.010382696626707912","5000","5000","5000","0.0029775330713018777","0.0029775330713018777","0.0029775330713018777"
"5250","5250","5250","5250","0.0008474251993466169","0.0008474251993466169","0.0008474251993466169","5250","5250","5250","0.0034327317152637988","0.0034327317152637988","0.0034327317152637988","5250","5250","5250","0.009463392762932926","0.009463392762932926","0.009463392762932926","5250","5250","5250","0.002780927462037653","0.002780927462037653","0.002780927462037653"
"5500","5500","5500","5500","0.000839150743209757","0.000839150743209757","0.000839150743209757","5500","5500","5500","0.0033747765123844147","0.0033747765123844147","0.0033747765123844147","5500","5500","5500","0.009356317499652505","0.009356317499652505","0.009356317499652505","5500","5500","5500","0.0026402781575452536","0.0026402781575452536","0.0026402781575452536"
"5750","5750","5750","5750","0.00080526950530475","0.00080526950530475","0.00080526950530475","5750","5750","5750","0.003558772188844159","0.003558772188844159","0.003558772188844159","5750","5750","5750","0.009330006865551695","0.009330006865551695","0.009330006865551695","5750","5750","5750","0.002504572663921863","0.002504572663921863","0.002504572663921863"
"6000","6000","6000","6000","0.0007928325693355873","0.0007928325693355873","0.0007928325693355873","6000","6000","6000","0.0033422670401632784","0.0033422670401632784","0.0033422670401632784","6000","6000","6000","0.010390820855740458","0.010390820855740458","0.010390820855740458","6000","6000","6000","0.0024295434155501426","0.0024295434155501426","0.0024295434155501426"
"6250","6250","6250","6250","0.000776588563574478","0.000776588563574478","0.000776588563574478","6250","6250","6250","0.0032851108312606813","0.0032851108312606813","0.0032851108312606813","6250","6250","6250","0.009358763876371086","0.009358763876371086","0.009358763876371086","6250","6250","6250","0.002327080796007067","0.002327080796007067","0.002327080796007067"
"6500","6500","6500","6500","0.0007631128643406555","0.0007631128643406555","0.0007631128643406555","6500","6500","6500","0.0033682713569141926","0.0033682713569141926","0.0033682713569141926","6500","6500","6500","0.009735181959345937","0.009735181959345937","0.009735181959345937","6500","6500","6500","0.002189833660144359","0.002189833660144359","0.002189833660144359"
"6750","6750","6750","6750","0.0007446813462884165","0.0007446813462884165","0.0007446813462884165","6750","6750","6750","0.0032623446099460125","0.0032623446099460125","0.0032623446099460125","6750","6750","6750","0.00987051210179925","0.00987051210179925","0.00987051210179925","6750","6750","6750","0.0021080876591149716","0.0021080876591149716","0.0021080876591149716"
"7000","7000","7000","7000","0.0007308629048056901","0.0007308629048056901","0.0007308629048056901","7000","7000","7000","0.003214008656097576","0.003214008656097576","0.003214008656097576","7000","7000","7000","0.009233311520889402","0.009233311520889402","0.009233311520889402","7000","7000","7000","0.002026209314586595","0.002026209314586595","0.002026209314586595"
"7250","7250","7250","7250","0.0007340202206978574","0.0007340202206978574","0.0007340202206978574","7250","7250","7250","0.003234283277997747","0.003234283277997747","0.003234283277997747","7250","7250","7250","0.009527135744690895","0.009527135744690895","0.009527135744690895","7250","7250","7250","0.0019707603408023714","0.0019707603408023714","0.0019707603408023714"
"7500","7500","7500","7500","0.0007013996705063619","0.0007013996705063619","0.0007013996705063619","7500","7500","7500","0.0031701479791663586","0.0031701479791663586","0.0031701479791663586","7500","7500","7500","0.009046363334171473","0.009046363334171473","0.009046363334171473","7500","7500","7500","0.0019004668158013375","0.0019004668158013375","0.0019004668158013375"
"7750","7750","7750","7750","0.0007056744410656393","0.0007056744410656393","0.0007056744410656393","7750","7750","7750","0.0031235323508735746","0.0031235323508735746","0.0031235323508735746","7750","7750","7750","0.009090208894573152","0.009090208894573152","0.009090208894573152","7750","7750","7750","0.0018236263459548354","0.0018236263459548354","0.0018236263459548354"
"8000","8000","8000","8000","0.0009435357775655575","0.0009435357775655575","0.0009435357775655575","8000","8000","8000","0.003170585783664137","0.003170585783664137","0.003170585783664137","8000","8000","8000","0.008576855234336107","0.008576855234336107","0.008576855234336107","8000","8000","8000","0.0017865282942075282","0.0017865282942075282","0.0017865282942075282"
"8250","8250","8250","8250","0.000749852208304219","0.000749852208304219","0.000749852208304219","8250","8250","8250","0.0036364090996794402","0.0036364090996794402","0.0036364090996794402","8250","8250","8250","0.008634613254107535","0.008634613254107535","0.008634613254107535","8250","8250","8250","0.0016951225611846895","0.0016951225611846895","0.0016951225611846895"
"8500","8500","8500","8500","0.0007032555367331952","0.0007032555367331952","0.0007032555367331952","8500","8500","8500","0.003148652765667066","0.003148652765667066","0.003148652765667066","8500","8500","8500","0.00899051823047921","0.00899051823047921","0.00899051823047921","8500","8500","8500","0.0016319181248545646","0.0016319181248545646","0.0016319181248545646"
"8750","8750","8750","8750","0.000682797949120868","0.000682797949120868","0.000682797949120868","8750","8750","8750","0.003070760148577392","0.003070760148577392","0.003070760148577392","8750","8750","8750","0.009120410313829779","0.009120410313829779","0.009120410313829779","8750","8750","8750","0.0015456699852366","0.0015456699852366","0.0015456699852366"
"9000","9000","9000","9000","0.0006716188459540717","0.0006716188459540717","0.0006716188459540717","9000","9000","9000","0.003030505696311593","0.003030505696311593","0.003030505696311593","9000","9000","9000","0.008301249354844912","0.008301249354844912","0.008301249354844912","9000","9000","9000","0.0014927626913413406","0.0014927626913413406","0.0014927626913413406"
"9250","9250","9250","9250","0.0006583449051831849","0.0006583449051831849","0.0006583449051831849","9250","9250","9250","0.0030974943514447658","0.0030974943514447658","0.0030974943514447658","9250","9250","9250","0.008253983054775744","0.008253983054775744","0.008253983054775744","9250","9250","9250","0.0014598728563869371","0.0014598728563869371","0.0014598728563869371"
"9500","9500","9500","9500","0.0006497821158263832","0.0006497821158263832","0.0006497821158263832","9500","9500","9500","0.0030164793115109207","0.0030164793115109207","0.0030164793115109207","9500","9500","9500","0.008441322337836028","0.008441322337836028","0.008441322337836028","9500","9500","9500","0.0014186628336319699","0.0014186628336319699","0.0014186628336319699"
"9750","9750","9750","9750","0.0006408712619449943","0.0006408712619449943","0.0006408712619449943","9750","9750","9750","0.0029411023827269674","0.0029411023827269674","0.0029411023827269674","9750","9750","9750","0.008436352293938399","0.008436352293938399","0.008436352293938399","9750","9750","9750","0.001392753971973434","0.001392753971973434","0.001392753971973434"
"10000","10000","10000","10000","0.0006310395522159524","0.0006310395522159524","0.0006310395522159524","10000","10000","10000","0.0030574582600966095","0.0030574582600966095","0.0030574582600966095","10000","10000","10000","0.008287598451599478","0.008287598451599478","0.008287598451599478","10000","10000","10000","0.0013772180443629622","0.0013772180443629622","0.0013772180443629622"
"10250","10250","10250","10250","0.0006230801300262101","0.0006230801300262101","0.0006230801300262101","10250","10250","10250","0.002916230839211494","0.002916230839211494","0.002916230839211494","10250","10250","10250","0.00801020519156009","0.00801020519156009","0.00801020519156009","10250","10250","10250","0.001332964159315452","0.001332964159315452","0.001332964159315452"
"10500","10500","10500","10500","0.0006165774469263852","0.0006165774469263852","0.0006165774469263852","10500","10500","10500","0.0028915781206451355","0.0028915781206451355","0.0028915781206451355","10500","10500","10500","0.00819735642708838","0.00819735642708838","0.00819735642708838","10500","10500","10500","0.0013369179903529585","0.0013369179903529585","0.0013369179903529585"
"10750","10750","10750","10750","0.0006127675527241081","0.0006127675527241081","0.0006127675527241081","10750","10750","10750","0.002853870897553861","0.002853870897553861","0.002853870897553861","10750","10750","10750","0.009717491449322551","0.009717491449322551","0.009717491449322551","10750","10750","10750","0.009581316202878953","0.009581316202878953","0.009581316202878953"
"11000","11000","11000","11000","0.0006162126188864931","0.0006162126188864931","0.0006162126188864931","11000","11000","11000","0.002848082083975896","0.002848082083975896","0.002848082083975896","11000","11000","11000","0.010893240015488118","0.010893240015488118","0.010893240015488118","11000","11000","11000","0.0022094904847908764","0.0022094904847908764","0.0022094904847908764"
"11250","11250","11250","11250","0.0005997336052823812","0.0005997336052823812","0.0005997336052823812","11250","11250","11250","0.0028812480673659595","0.0028812480673659595","0.0028812480673659595","11250","11250","11250","0.008288634783122688","0.008288634783122688","0.008288634783122688","11250","11250","11250","0.0017973336144350468","0.0017973336144350468","0.0017973336144350468"
"11500","11500","11500","11500","0.0005943675552261994","0.0005943675552261994","0.0005943675552261994","11500","11500","11500","0.0028050088266609236","0.0028050088266609236","0.0028050088266609236","11500","11500","11500","0.00797433991683647","0.00797433991683647","0.00797433991683647","11500","11500","11500","0.0015791708084288984","0.0015791708084288984","0.0015791708084288984"
"11750","11750","11750","11750","0.0005927166125038639","0.0005927166125038639","0.0005927166125038639","11750","11750","11750","0.0028008677824400367","0.0028008677824400367","0.0028008677824400367","11750","11750","11750","0.00785397452954203","0.00785397452954203","0.00785397452954203","11750","11750","11750","0.0014484296602895483","0.0014484296602895483","0.0014484296602895483"
"12000","12000","12000","12000","0.0005869895363575779","0.0005869895363575779","0.0005869895363575779","12000","12000","12000","0.002761871428694576","0.002761871428694576","0.002761871428694576","12000","12000","12000","0.007795100075658411","0.007795100075658411","0.007795100075658411","12000","12000","12000","0.001382273985305801","0.001382273985305801","0.001382273985305801"
"12250","12250","12250","12250","0.0005798422504449263","0.0005798422504449263","0.0005798422504449263","12250","12250","12250","0.002742070893291384","0.002742070893291384","0.002742070893291384","12250","12250","12250","0.007671736881602556","0.007671736881602556","0.007671736881602556","12250","12250","12250","0.0013321843137964605","0.0013321843137964605","0.0013321843137964605"
"12500","12500","12500","12500","0.000578061074076686","0.000578061074076686","0.000578061074076686","12500","12500","12500","0.002834565978962928","0.002834565978962928","0.002834565978962928","12500","12500","12500","0.007625363970641047","0.007625363970641047","0.007625363970641047","12500","12500","12500","0.0012967608734034003","0.0012967608734034003","0.0012967608734034003"
"12750","12750","12750","12750","0.00057324841018999","0.00057324841018999","0.00057324841018999","12750","12750","12750","0.0027406788259977475","0.0027406788259977475","0.0027406788259977475","12750","12750","12750","0.007528830539435148","0.007528830539435148","0.007528830539435148","12750","12750","12750","0.0012781131658703088","0.0012781131658703088","0.0012781131658703088"
"13000","13000","13000","13000","0.0005651550483889878","0.0005651550483889878","0.0005651550483889878","13000","13000","13000","0.0026911809840239583","0.0026911809840239583","0.0026911809840239583","13000","13000","13000","0.007821802828460931","0.007821802828460931","0.007821802828460931","13000","13000","13000","0.001265986996353604","0.001265986996353604","0.001265986996353604"
"13250","13250","13250","13250","0.0005790835405932739","0.0005790835405932739","0.0005790835405932739","13250","13250","13250","0.002671438309364021","0.002671438309364021","0.002671438309364021","13250","13250","13250","0.007639265759382397","0.007639265759382397","0.007639265759382397","13250","13250","13250","0.001235676145995967","0.001235676145995967","0.001235676145995967"
"13500","13500","13500","13500","0.0005622776016825811","0.0005622776016825811","0.0005622776016825811","13500","13500","13500","0.002675950910197571","0.002675950910197571","0.002675950910197571","13500","13500","13500","0.007475347598548979","0.007475347598548979","0.007475347598548979","13500","13500","13500","0.0012027276603039355","0.0012027276603039355","0.0012027276603039355"
"13750","13750","13750","13750","0.0005548795991926454","0.0005548795991926454","0.0005548795991926454","13750","13750","13750","0.0026522314314497636","0.0026522314314497636","0.0026522314314497636","13750","13750","13750","0.007736480443272739","0.007736480443272739","0.007736480443272739","13750","13750","13750","0.0011977075622417032","0.0011977075622417032","0.0011977075622417032"
"14000","14000","14000","14000","0.0006112170069827698","0.0006112170069827698","0.0006112170069827698","14000","14000","14000","0.0030139142354018984","0.0030139142354018984","0.0030139142354018984","14000","14000","14000","0.007171684866305441","0.007171684866305441","0.007171684866305441","14000","14000","14000","0.0011748998910188675","0.0011748998910188675","0.0011748998910188675"
"14250","14250","14250","14250","0.0005485898889019154","0.0005485898889019154","0.0005485898889019154","14250","14250","14250","0.002740591865964234","0.002740591865964234","0.002740591865964234","14250","14250","14250","0.006931983582209796","0.006931983582209796","0.006931983582209796","14250","14250","14250","0.0011587511968100444","0.0011587511968100444","0.0011587511968100444"
"14500","14500","14500","14500","0.000610560018918477","0.000610560018918477","0.000610560018918477","14500","14500","14500","0.002685844305437058","0.002685844305437058","0.002685844305437058","14500","14500","14500","0.006842093014158309","0.006842093014158309","0.006842093014158309","14500","14500","14500","0.0011558584511512891","0.0011558584511512891","0.0011558584511512891"
"14750","14750","14750","14750","0.0005685905205318704","0.0005685905205318704","0.0005685905205318704","14750","14750","14750","0.002626590881962329","0.002626590881962329","0.002626590881962329","14750","14750","14750","0.006791109625250101","0.006791109625250101","0.006791109625250101","14750","14750","14750","0.001136775822727941","0.001136775822727941","0.001136775822727941"
"15000","15000","15000","15000","0.0007508932435302995","0.0007508932435302995","0.0007508932435302995","15000","15000","15000","0.0026357863808516412","0.0026357863808516412","0.0026357863808516412","15000","15000","15000","0.006859107863856479","0.006859107863856479","0.006859107863856479","15000","15000","15000","0.0011262083392357455","0.0011262083392357455","0.0011262083392357455"
"15250","15250","15250","15250","0.0006405329114058986","0.0006405329114058986","0.0006405329114058986","15250","15250","15250","0.0025825256353709846","0.0025825256353709846","0.0025825256353709846","15250","15250","15250","0.006654074140824378","0.006654074140824378","0.006654074140824378","15250","15250","15250","0.0011070110391592607","0.0011070110391592607","0.0011070110391592607"
"15500","15500","15500","15500","0.0005698554301052355","0.0005698554301052355","0.0005698554301052355","15500","15500","15500","0.0025710771968588233","0.0025710771968588233","0.0025710771968588233","15500","15500","15500","0.00648503408068791","0.00648503408068791","0.00648503408068791","15500","15500","15500","0.0011023921897867694","0.0011023921897867694","0.0011023921897867694"
"15750","15750","15750","15750","0.000548537930531893","0.000548537930531893","0.000548537930531893","15750","15750","15750","0.002545654355082661","0.002545654355082661","0.002545654355082661","15750","15750","15750","0.006461178197525442","0.006461178197525442","0.006461178197525442","15750","15750","15750","0.0010921543405856937","0.0010921543405856937","0.0010921543405856937"
"16000","16000","16000","16000","0.0005383644216344691","0.0005383644216344691","0.0005383644216344691","16000","16000","16000","0.0025891356386709957","0.0025891356386709957","0.0025891356386709957","16000","16000","16000","0.006323015141766518","0.006323015141766518","0.006323015141766518","16000","16000","16000","0.001064147432683967","0.001064147432683967","0.001064147432683967"
"16250","16250","16250","16250","0.0005321477816905827","0.0005321477816905827","0.0005321477816905827","16250","16250","16250","0.0025605160200502723","0.0025605160200502723","0.0025605160200502723","16250","16250","16250","0.006433061697985977","0.006433061697985977","0.006433061697985977","16250","16250","16250","0.001054902400705032","0.001054902400705032","0.001054902400705032"
"16500","16500","16500","16500","0.0005285209291614592","0.0005285209291614592","0.0005285209291614592","16500","16500","16500","0.0027907937709242105","0.0027907937709242105","0.0027907937709242105","16500","16500","16500","0.006266344891162589","0.006266344891162589","0.006266344891162589","16500","16500","16500","0.0010485767677892","0.0010485767677892","0.0010485767677892"
"16750","16750","16750","16750","0.0005223510623909533","0.0005223510623909533","0.0005223510623909533","16750","16750","16750","0.0025500858100131153","0.0025500858100131153","0.0025500858100131153","16750","16750","16750","0.006116354683879763","0.006116354683879763","0.006116354683879763","16750","16750","16750","0.0010372606995515525","0.0010372606995515525","0.0010372606995515525"
"17000","17000","17000","17000","0.0005214760737144388","0.0005214760737144388","0.0005214760737144388","17000","17000","17000","0.002510548834456131","0.002510548834456131","0.002510548834456131","17000","17000","17000","0.006991813402157277","0.006991813402157277","0.006991813402157277","17000","17000","17000","0.0010228457138873636","0.0010228457138873636","0.0010228457138873636"
"17250","17250","17250","17250","0.0005191083847894333","0.0005191083847894333","0.0005191083847894333","17250","17250","17250","0.002530681694042869","0.002530681694042869","0.002530681694042869","17250","17250","17250","0.006071981036104262","0.006071981036104262","0.006071981036104262","17250","17250","17250","0.0010341207595774905","0.0010341207595774905","0.0010341207595774905"
"17500","17500","17500","17500","0.0005284826799179427","0.0005284826799179427","0.0005284826799179427","17500","17500","17500","0.0025073431881610306","0.0025073431881610306","0.0025073431881610306","17500","17500","17500","0.005901673594024033","0.005901673594024033","0.005901673594024033","17500","17500","17500","0.001014632710837759","0.001014632710837759","0.001014632710837759"
"17750","17750","17750","17750","0.0005114002036571037","0.0005114002036571037","0.0005114002036571037","17750","17750","17750","0.0025233084310311822","0.0025233084310311822","0.0025233084310311822","17750","17750","17750","0.005893784059677273","0.005893784059677273","0.005893784059677273","17750","17750","17750","0.0010100257982267066","0.0010100257982267066","0.0010100257982267066"
"18000","18000","18000","18000","0.0005111181083484553","0.0005111181083484553","0.0005111181083484553","18000","18000","18000","0.0024909104303224012","0.0024909104303224012","0.0024909104303224012","18000","18000","18000","0.00575853876513429","0.00575853876513429","0.00575853876513429","18000","18000","18000","0.0009918816197896376","0.0009918816197896376","0.0009918816197896376"
"18250","18250","18250","18250","0.0005062070930725895","0.0005062070930725895","0.0005062070930725895","18250","18250","18250","0.0026684394830372186","0.0026684394830372186","0.0026684394830372186","18250","18250","18250","0.005984145700000227","0.005984145700000227","0.005984145700000227","18250","18250","18250","0.0009897298943251371","0.0009897298943251371","0.0009897298943251371"
"18500","18500","18500","18500","0.000828385143133346","0.000828385143133346","0.000828385143133346","18500","18500","18500","0.002543100461596623","0.002543100461596623","0.002543100461596623","18500","18500","18500","0.005763895723037421","0.005763895723037421","0.005763895723037421","18500","18500","18500","0.0010686030072392897","0.0010686030072392897","0.0010686030072392897"
"18750","18750","18750","18750","0.0005732370451441966","0.0005732370451441966","0.0005732370451441966","18750","18750","18750","0.0024683568098116666","0.0024683568098116666","0.0024683568098116666","18750","18750","18750","0.005711711556650698","0.005711711556650698","0.005711711556650698","18750","18750","18750","0.0009751175555866212","0.0009751175555866212","0.0009751175555866212"
"19000","19000","19000","19000","0.0005415743062621914","0.0005415743062621914","0.0005415743062621914","19000","19000","19000","0.0025513161739800123","0.0025513161739800123","0.0025513161739800123","19000","19000","19000","0.005605491075199098","0.005605491075199098","0.005605491075199098","19000","19000","19000","0.0009560691743390635","0.0009560691743390635","0.0009560691743390635"
"19250","19250","19250","19250","0.0005296733542345465","0.0005296733542345465","0.0005296733542345465","19250","19250","19250","0.0024745580325834455","0.0024745580325834455","0.0024745580325834455","19250","19250","19250","0.005603019014466554","0.005603019014466554","0.005603019014466554","19250","19250","19250","0.0009589790744939819","0.0009589790744939819","0.0009589790744939819"
"19500","19500","19500","19500","0.0005243834860739298","0.0005243834860739298","0.0005243834860739298","19500","19500","19500","0.0024600351221160965","0.0024600351221160965","0.0024600351221160965","19500","19500","19500","0.005450085780583322","0.005450085780583322","0.005450085780583322","19500","19500","19500","0.0009445842545246706","0.0009445842545246706","0.0009445842545246706"
"19750","19750","19750","19750","0.0005199447948252782","0.0005199447948252782","0.0005199447948252782","19750","19750","19750","0.0024230586253106592","0.0024230586253106592","0.0024230586253106592","19750","19750","19750","0.005342033848632127","0.005342033848632127","0.005342033848632127","19750","19750","19750","0.0009377799307694659","0.0009377799307694659","0.0009377799307694659"
"20000","20000","20000","20000","0.0005120733208023012","0.0005120733208023012","0.0005120733208023012","20000","20000","20000","0.002408002892509103","0.002408002892509103","0.002408002892509103","20000","20000","20000","0.005302391099743545","0.005302391099743545","0.005302391099743545","20000","20000","20000","0.0009358487693825737","0.0009358487693825737","0.0009358487693825737"
"20250","20250","20250","20250","0.0005094322267104872","0.0005094322267104872","0.0005094322267104872","20250","20250","20250","0.002424789793556556","0.002424789793556556","0.002424789793556556","20250","20250","20250","0.005187621756456792","0.005187621756456792","0.005187621756456792","20250","20250","20250","0.0009253500418271869","0.0009253500418271869","0.0009253500418271869"
"20500","20500","20500","20500","0.0005078003832022659","0.0005078003832022659","0.0005078003832022659","20500","20500","20500","0.0025334855867549778","0.0025334855867549778","0.0025334855867549778","20500","20500","20500","0.005149337574839592","0.005149337574839592","0.005149337574839592","20500","20500","20500","0.0009208190041827038","0.0009208190041827038","0.0009208190041827038"
"20750","20750","20750","20750","0.0005071637143846601","0.0005071637143846601","0.0005071637143846601","20750","20750","20750","0.002408522000769153","0.002408522000769153","0.002408522000769153","20750","20750","20750","0.005119895840995013","0.005119895840995013","0.005119895840995013","20750","20750","20750","0.0009195718874689192","0.0009195718874689192","0.0009195718874689192"
"21000","21000","21000","21000","0.0005031274772481993","0.0005031274772481993","0.0005031274772481993","21000","21000","21000","0.0025721180161926895","0.0025721180161926895","0.0025721180161926895","21000","21000","21000","0.006035928545985371","0.006035928545985371","0.006035928545985371","21000","21000","21000","0.0009133804430020973","0.0009133804430020973","0.0009133804430020973"
"21250","21250","21250","21250","0.000497552783897845","0.000497552783897845","0.000497552783897845","21250","21250","21250","0.002388746917480603","0.002388746917480603","0.002388746917480603","21250","21250","21250","0.0055227827671915294","0.0055227827671915294","0.0055227827671915294","21250","21250","21250","0.000903874937153887","0.000903874937153887","0.000903874937153887"
