"trainer/global_step","best style a mix - _step","best style a mix - _step__MIN","best style a mix - _step__MAX","best style a mix - train_mse_epoch","best style a mix - train_mse_epoch__MIN","best style a mix - train_mse_epoch__MAX","best curve a mix - _step","best curve a mix - _step__MIN","best curve a mix - _step__MAX","best curve a mix - train_mse_epoch","best curve a mix - train_mse_epoch__MIN","best curve a mix - train_mse_epoch__MAX","best curve a meta - _step","best curve a meta - _step__MIN","best curve a meta - _step__MAX","best curve a meta - train_mse_epoch","best curve a meta - train_mse_epoch__MIN","best curve a meta - train_mse_epoch__MAX","best style a meta - _step","best style a meta - _step__MIN","best style a meta - _step__MAX","best style a meta - train_mse_epoch","best style a meta - train_mse_epoch__MIN","best style a meta - train_mse_epoch__MAX"
"2750","2750","2750","2750","0.004682957972213626","0.004682957972213626","0.004682957972213626","2750","2750","2750","0.017032792842388154","0.017032792842388154","0.017032792842388154","2750","2750","2750","0.06434212473630906","0.06434212473630906","0.06434212473630906","2750","2750","2750","0.02371338039636612","0.02371338039636612","0.02371338039636612"
"3000","3000","3000","3000","0.004504374593496323","0.004504374593496323","0.004504374593496323","3000","3000","3000","0.01659785115122795","0.01659785115122795","0.01659785115122795","3000","3000","3000","0.054967636469006535","0.054967636469006535","0.054967636469006535","3000","3000","3000","0.022798304280638695","0.022798304280638695","0.022798304280638695"
"3250","3250","3250","3250","0.004329329282417894","0.004329329282417894","0.004329329282417894","3250","3250","3250","0.016525581283867358","0.016525581283867358","0.016525581283867358","3250","3250","3250","0.05274172956049442","0.05274172956049442","0.05274172956049442","3250","3250","3250","0.02195220297574997","0.02195220297574997","0.02195220297574997"
"3500","3500","3500","3500","0.004183234603703022","0.004183234603703022","0.004183234603703022","3500","3500","3500","0.01627681491971016","0.01627681491971016","0.01627681491971016","3500","3500","3500","0.0526329221457243","0.0526329221457243","0.0526329221457243","3500","3500","3500","0.02119265296459198","0.02119265296459198","0.02119265296459198"
"3750","3750","3750","3750","0.004028765925765038","0.004028765925765038","0.004028765925765038","3750","3750","3750","0.015872782823443413","0.015872782823443413","0.015872782823443413","3750","3750","3750","0.052674249809980395","0.052674249809980395","0.052674249809980395","3750","3750","3750","0.020003451135754587","0.020003451135754587","0.020003451135754587"
"4000","4000","4000","4000","0.003907674713432789","0.003907674713432789","0.003907674713432789","4000","4000","4000","0.01788694158270955","0.01788694158270955","0.01788694158270955","4000","4000","4000","0.059824237814545635","0.059824237814545635","0.059824237814545635","4000","4000","4000","0.018790041506290437","0.018790041506290437","0.018790041506290437"
"4250","4250","4250","4250","0.0037667627424001694","0.0037667627424001694","0.0037667627424001694","4250","4250","4250","0.019793051367998124","0.019793051367998124","0.019793051367998124","4250","4250","4250","0.04953324662446976","0.04953324662446976","0.04953324662446976","4250","4250","4250","0.016797648505866528","0.016797648505866528","0.016797648505866528"
"4500","4500","4500","4500","0.0036789604868739845","0.0036789604868739845","0.0036789604868739845","4500","4500","4500","0.015641893086582422","0.015641893086582422","0.015641893086582422","4500","4500","4500","0.04956729860007763","0.04956729860007763","0.04956729860007763","4500","4500","4500","0.01513548396229744","0.01513548396229744","0.01513548396229744"
"4750","4750","4750","4750","0.0035892071302980185","0.0035892071302980185","0.0035892071302980185","4750","4750","4750","0.015237579500675202","0.015237579500675202","0.015237579500675202","4750","4750","4750","0.05211426707208157","0.05211426707208157","0.05211426707208157","4750","4750","4750","0.01341169530004263","0.01341169530004263","0.01341169530004263"
"5000","5000","5000","5000","0.003499792459979653","0.003499792459979653","0.003499792459979653","5000","5000","5000","0.015091578722000122","0.015091578722000122","0.015091578722000122","5000","5000","5000","0.050255869530141356","0.050255869530141356","0.050255869530141356","5000","5000","5000","0.012152912352979182","0.012152912352979182","0.012152912352979182"
"5250","5250","5250","5250","0.003401186541095376","0.003401186541095376","0.003401186541095376","5250","5250","5250","0.015060705047100782","0.015060705047100782","0.015060705047100782","5250","5250","5250","0.04512370208501816","0.04512370208501816","0.04512370208501816","5250","5250","5250","0.011312635350227356","0.011312635350227356","0.011312635350227356"
"5500","5500","5500","5500","0.003382875391468406","0.003382875391468406","0.003382875391468406","5500","5500","5500","0.014597752217948437","0.014597752217948437","0.014597752217948437","5500","5500","5500","0.0442174515992403","0.0442174515992403","0.0442174515992403","5500","5500","5500","0.010721157002449036","0.010721157002449036","0.010721157002449036"
"5750","5750","5750","5750","0.0032420686051249504","0.0032420686051249504","0.0032420686051249504","5750","5750","5750","0.01588357831761241","0.01588357831761241","0.01588357831761241","5750","5750","5750","0.044341120424866674","0.044341120424866674","0.044341120424866674","5750","5750","5750","0.010174813704192638","0.010174813704192638","0.010174813704192638"
"6000","6000","6000","6000","0.003189743637666106","0.003189743637666106","0.003189743637666106","6000","6000","6000","0.014405769376456738","0.014405769376456738","0.014405769376456738","6000","6000","6000","0.05272231685817241","0.05272231685817241","0.05272231685817241","6000","6000","6000","0.00983038970977068","0.00983038970977068","0.00983038970977068"
"6250","6250","6250","6250","0.0031273457702249287","0.0031273457702249287","0.0031273457702249287","6250","6250","6250","0.014148483570665121","0.014148483570665121","0.014148483570665121","6250","6250","6250","0.04539311889111996","0.04539311889111996","0.04539311889111996","6250","6250","6250","0.009411738906800747","0.009411738906800747","0.009411738906800747"
"6500","6500","6500","6500","0.0030772674176841974","0.0030772674176841974","0.0030772674176841974","6500","6500","6500","0.014884106492996216","0.014884106492996216","0.014884106492996216","6500","6500","6500","0.046471560230851174","0.046471560230851174","0.046471560230851174","6500","6500","6500","0.008835438817739487","0.008835438817739487","0.008835438817739487"
"6750","6750","6750","6750","0.0029966006517410278","0.0029966006517410278","0.0029966006517410278","6750","6750","6750","0.014273157082498074","0.014273157082498074","0.014273157082498074","6750","6750","6750","0.0508022297680378","0.0508022297680378","0.0508022297680378","6750","6750","6750","0.008503502038121223","0.008503502038121223","0.008503502038121223"
"7000","7000","7000","7000","0.002940451302751899","0.002940451302751899","0.002940451302751899","7000","7000","7000","0.014245523537695409","0.014245523537695409","0.014245523537695409","7000","7000","7000","0.04652414132803678","0.04652414132803678","0.04652414132803678","7000","7000","7000","0.00817076470553875","0.00817076470553875","0.00817076470553875"
"7250","7250","7250","7250","0.0029567779913544654","0.0029567779913544654","0.0029567779913544654","7250","7250","7250","0.014010343989729881","0.014010343989729881","0.014010343989729881","7250","7250","7250","0.04861720896661281","0.04861720896661281","0.04861720896661281","7250","7250","7250","0.007951950839906931","0.007951950839906931","0.007951950839906931"
"7500","7500","7500","7500","0.0028184062976390123","0.0028184062976390123","0.0028184062976390123","7500","7500","7500","0.013724701628088951","0.013724701628088951","0.013724701628088951","7500","7500","7500","0.043216193437576295","0.043216193437576295","0.043216193437576295","7500","7500","7500","0.007637534170597792","0.007637534170597792","0.007637534170597792"
"7750","7750","7750","7750","0.002835511475801468","0.002835511475801468","0.002835511475801468","7750","7750","7750","0.013483960063755513","0.013483960063755513","0.013483960063755513","7750","7750","7750","0.04564143152832985","0.04564143152832985","0.04564143152832985","7750","7750","7750","0.007328653116524219","0.007328653116524219","0.007328653116524219"
"8000","8000","8000","8000","0.0038457745656371115","0.0038457745656371115","0.0038457745656371115","8000","8000","8000","0.013819249221682548","0.013819249221682548","0.013819249221682548","8000","8000","8000","0.04040263119935989","0.04040263119935989","0.04040263119935989","8000","8000","8000","0.007173785038292408","0.007173785038292408","0.007173785038292408"
"8250","8250","8250","8250","0.003007488655671477","0.003007488655671477","0.003007488655671477","8250","8250","8250","0.016431658807396887","0.016431658807396887","0.016431658807396887","8250","8250","8250","0.04167077046632767","0.04167077046632767","0.04167077046632767","8250","8250","8250","0.006804849569499493","0.006804849569499493","0.006804849569499493"
"8500","8500","8500","8500","0.0028205595619976522","0.0028205595619976522","0.0028205595619976522","8500","8500","8500","0.01367640287578106","0.01367640287578106","0.01367640287578106","8500","8500","8500","0.050522277083992956","0.050522277083992956","0.050522277083992956","8500","8500","8500","0.006559311796724796","0.006559311796724796","0.006559311796724796"
"8750","8750","8750","8750","0.0027372870406135916","0.0027372870406135916","0.0027372870406135916","8750","8750","8750","0.01325804945230484","0.01325804945230484","0.01325804945230484","8750","8750","8750","0.04372949641942978","0.04372949641942978","0.04372949641942978","8750","8750","8750","0.006193743816763163","0.006193743816763163","0.006193743816763163"
"9000","9000","9000","9000","0.002691483363881707","0.002691483363881707","0.002691483363881707","9000","9000","9000","0.013175402046740056","0.013175402046740056","0.013175402046740056","9000","9000","9000","0.038931667494773864","0.038931667494773864","0.038931667494773864","9000","9000","9000","0.005969457314163446","0.005969457314163446","0.005969457314163446"
"9250","9250","9250","9250","0.0026409013368189336","0.0026409013368189336","0.0026409013368189336","9250","9250","9250","0.01376703869998455","0.01376703869998455","0.01376703869998455","9250","9250","9250","0.03885314946472645","0.03885314946472645","0.03885314946472645","9250","9250","9250","0.005844417221099138","0.005844417221099138","0.005844417221099138"
"9500","9500","9500","9500","0.002603543399274349","0.002603543399274349","0.002603543399274349","9500","9500","9500","0.013127733732759952","0.013127733732759952","0.013127733732759952","9500","9500","9500","0.04018950375318527","0.04018950375318527","0.04018950375318527","9500","9500","9500","0.005682809673249721","0.005682809673249721","0.005682809673249721"
"9750","9750","9750","9750","0.0025683692239224913","0.0025683692239224913","0.0025683692239224913","9750","9750","9750","0.012737296172976495","0.012737296172976495","0.012737296172976495","9750","9750","9750","0.04011809540092945","0.04011809540092945","0.04011809540092945","9750","9750","9750","0.005579430720210075","0.005579430720210075","0.005579430720210075"
"10000","10000","10000","10000","0.002530501864477992","0.002530501864477992","0.002530501864477992","10000","10000","10000","0.013445748841017485","0.013445748841017485","0.013445748841017485","10000","10000","10000","0.04073673120290041","0.04073673120290041","0.04073673120290041","10000","10000","10000","0.005517645713686943","0.005517645713686943","0.005517645713686943"
"10250","10250","10250","10250","0.0024996208192780613","0.0024996208192780613","0.0024996208192780613","10250","10250","10250","0.018343657714128495","0.018343657714128495","0.018343657714128495","10250","10250","10250","0.03784498738050461","0.03784498738050461","0.03784498738050461","10250","10250","10250","0.005334268306940794","0.005334268306940794","0.005334268306940794"
"10500","10500","10500","10500","0.0024740463195368646","0.0024740463195368646","0.0024740463195368646","10500","10500","10500","0.012545504051446915","0.012545504051446915","0.012545504051446915","10500","10500","10500","0.04055416337549687","0.04055416337549687","0.04055416337549687","10500","10500","10500","0.005366235423833131","0.005366235423833131","0.005366235423833131"
"10750","10750","10750","10750","0.0024591427279636265","0.0024591427279636265","0.0024591427279636265","10750","10750","10750","0.012304598418623209","0.012304598418623209","0.012304598418623209","10750","10750","10750","0.057481373518705366","0.057481373518705366","0.057481373518705366","10750","10750","10750","0.025134587034583093","0.025134587034583093","0.025134587034583093"
"11000","11000","11000","11000","0.002468947834149003","0.002468947834149003","0.002468947834149003","11000","11000","11000","0.012319270923733711","0.012319270923733711","0.012319270923733711","11000","11000","11000","0.05904774685800075","0.05904774685800075","0.05904774685800075","11000","11000","11000","0.008791830433905124","0.008791830433905124","0.008791830433905124"
"11250","11250","11250","11250","0.0024094963438808918","0.0024094963438808918","0.0024094963438808918","11250","11250","11250","0.012514690886437894","0.012514690886437894","0.012514690886437894","11250","11250","11250","0.03883947390913963","0.03883947390913963","0.03883947390913963","11250","11250","11250","0.007166530871391297","0.007166530871391297","0.007166530871391297"
"11500","11500","11500","11500","0.0023874784616753457","0.0023874784616753457","0.0023874784616753457","11500","11500","11500","0.012115342239290476","0.012115342239290476","0.012115342239290476","11500","11500","11500","0.037532427985966205","0.037532427985966205","0.037532427985966205","11500","11500","11500","0.0062886095933616165","0.0062886095933616165","0.0062886095933616165"
"11750","11750","11750","11750","0.002379262780956924","0.002379262780956924","0.002379262780956924","11750","11750","11750","0.012159117472916842","0.012159117472916842","0.012159117472916842","11750","11750","11750","0.03697577238082886","0.03697577238082886","0.03697577238082886","11750","11750","11750","0.005795606677234172","0.005795606677234172","0.005795606677234172"
"12000","12000","12000","12000","0.002354183530434966","0.002354183530434966","0.002354183530434966","12000","12000","12000","0.01193309300020337","0.01193309300020337","0.01193309300020337","12000","12000","12000","0.03673879987299442","0.03673879987299442","0.03673879987299442","12000","12000","12000","0.00552925279289484","0.00552925279289484","0.00552925279289484"
"12250","12250","12250","12250","0.0023253750294446947","0.0023253750294446947","0.0023253750294446947","12250","12250","12250","0.01193572593331337","0.01193572593331337","0.01193572593331337","12250","12250","12250","0.03633194282799959","0.03633194282799959","0.03633194282799959","12250","12250","12250","0.005317888571321964","0.005317888571321964","0.005317888571321964"
"12500","12500","12500","12500","0.0023198468612506988","0.0023198468612506988","0.0023198468612506988","12500","12500","12500","0.012360409035533667","0.012360409035533667","0.012360409035533667","12500","12500","12500","0.03604051096439362","0.03604051096439362","0.03604051096439362","12500","12500","12500","0.005175686322152615","0.005175686322152615","0.005175686322152615"
"12750","12750","12750","12750","0.002301705450937152","0.002301705450937152","0.002301705450937152","12750","12750","12750","0.011854367408901454","0.011854367408901454","0.011854367408901454","12750","12750","12750","0.03543908723890781","0.03543908723890781","0.03543908723890781","12750","12750","12750","0.005092609477043152","0.005092609477043152","0.005092609477043152"
"13000","13000","13000","13000","0.0022691017907112837","0.0022691017907112837","0.0022691017907112837","13000","13000","13000","0.011600197310000658","0.011600197310000658","0.011600197310000658","13000","13000","13000","0.037570555965602395","0.037570555965602395","0.037570555965602395","13000","13000","13000","0.005053340682387352","0.005053340682387352","0.005053340682387352"
"13250","13250","13250","13250","0.0023287477327510716","0.0023287477327510716","0.0023287477327510716","13250","13250","13250","0.011599373091012239","0.011599373091012239","0.011599373091012239","13250","13250","13250","0.03769923170804977","0.03769923170804977","0.03769923170804977","13250","13250","13250","0.004924191698431969","0.004924191698431969","0.004924191698431969"
"13500","13500","13500","13500","0.002257869388908148","0.002257869388908148","0.002257869388908148","13500","13500","13500","0.011624452201649546","0.011624452201649546","0.011624452201649546","13500","13500","13500","0.034862694558501245","0.034862694558501245","0.034862694558501245","13500","13500","13500","0.00479647576585412","0.00479647576585412","0.00479647576585412"
"13750","13750","13750","13750","0.002228245623409748","0.002228245623409748","0.002228245623409748","13750","13750","13750","0.011807216426730155","0.011807216426730155","0.011807216426730155","13750","13750","13750","0.04044397316277027","0.04044397316277027","0.04044397316277027","13750","13750","13750","0.004784103194251657","0.004784103194251657","0.004784103194251657"
"14000","14000","14000","14000","0.0024575030378997326","0.0024575030378997326","0.0024575030378997326","14000","14000","14000","0.013706105857342481","0.013706105857342481","0.013706105857342481","14000","14000","14000","0.03372058793604374","0.03372058793604374","0.03372058793604374","14000","14000","14000","0.004703912192583084","0.004703912192583084","0.004703912192583084"
"14250","14250","14250","14250","0.0021966919029131533","0.0021966919029131533","0.0021966919029131533","14250","14250","14250","0.01198468967527151","0.01198468967527151","0.01198468967527151","14250","14250","14250","0.03240550588965416","0.03240550588965416","0.03240550588965416","14250","14250","14250","0.004622364484891296","0.004622364484891296","0.004622364484891296"
"14500","14500","14500","14500","0.0024587187971919773","0.0024587187971919773","0.0024587187971919773","14500","14500","14500","0.011718629195541144","0.011718629195541144","0.011718629195541144","14500","14500","14500","0.03199540272057057","0.03199540272057057","0.03199540272057057","14500","14500","14500","0.004618236118927598","0.004618236118927598","0.004618236118927598"
"14750","14750","14750","14750","0.002279746802151203","0.002279746802151203","0.002279746802151203","14750","14750","14750","0.011351229138672352","0.011351229138672352","0.011351229138672352","14750","14750","14750","0.03177855530679226","0.03177855530679226","0.03177855530679226","14750","14750","14750","0.004544828996434808","0.004544828996434808","0.004544828996434808"
"15000","15000","15000","15000","0.003039042363129556","0.003039042363129556","0.003039042363129556","15000","15000","15000","0.011521842986345291","0.011521842986345291","0.011521842986345291","15000","15000","15000","0.032209541001915934","0.032209541001915934","0.032209541001915934","15000","15000","15000","0.004495544207468629","0.004495544207468629","0.004495544207468629"
"15250","15250","15250","15250","0.0025559297766536474","0.0025559297766536474","0.0025559297766536474","15250","15250","15250","0.011131819555908442","0.011131819555908442","0.011131819555908442","15250","15250","15250","0.031275882655382156","0.031275882655382156","0.031275882655382156","15250","15250","15250","0.004424670887738466","0.004424670887738466","0.004424670887738466"
"15500","15500","15500","15500","0.0022800510911270976","0.0022800510911270976","0.0022800510911270976","15500","15500","15500","0.011155627317726612","0.011155627317726612","0.011155627317726612","15500","15500","15500","0.03017157144099474","0.03017157144099474","0.03017157144099474","15500","15500","15500","0.0044158227507025","0.0044158227507025","0.0044158227507025"
"15750","15750","15750","15750","0.0021956948839128017","0.0021956948839128017","0.0021956948839128017","15750","15750","15750","0.011047909849882126","0.011047909849882126","0.011047909849882126","15750","15750","15750","0.029977055335044862","0.029977055335044862","0.029977055335044862","15750","15750","15750","0.004364632333442569","0.004364632333442569","0.004364632333442569"
"16000","16000","16000","16000","0.002154763009771705","0.002154763009771705","0.002154763009771705","16000","16000","16000","0.011254162006825209","0.011254162006825209","0.011254162006825209","16000","16000","16000","0.02919282438606024","0.02919282438606024","0.02919282438606024","16000","16000","16000","0.004253503277525306","0.004253503277525306","0.004253503277525306"
"16250","16250","16250","16250","0.002132566031999886","0.002132566031999886","0.002132566031999886","16250","16250","16250","0.011056771670281887","0.011056771670281887","0.011056771670281887","16250","16250","16250","0.02990647831261158","0.02990647831261158","0.02990647831261158","16250","16250","16250","0.004223235544189811","0.004223235544189811","0.004223235544189811"
"16500","16500","16500","16500","0.0021187897980213164","0.0021187897980213164","0.0021187897980213164","16500","16500","16500","0.012335438600927591","0.012335438600927591","0.012335438600927591","16500","16500","16500","0.029008169081807138","0.029008169081807138","0.029008169081807138","16500","16500","16500","0.004199289332702756","0.004199289332702756","0.004199289332702756"
"16750","16750","16750","16750","0.0020976449470967054","0.0020976449470967054","0.0020976449470967054","16750","16750","16750","0.011058688168227672","0.011058688168227672","0.011058688168227672","16750","16750","16750","0.028138552090525626","0.028138552090525626","0.028138552090525626","16750","16750","16750","0.004151579354703426","0.004151579354703426","0.004151579354703426"
"17000","17000","17000","17000","0.002092068694904447","0.002092068694904447","0.002092068694904447","17000","17000","17000","0.01082134469076991","0.01082134469076991","0.01082134469076991","17000","17000","17000","0.032974457563459875","0.032974457563459875","0.032974457563459875","17000","17000","17000","0.004095461609214544","0.004095461609214544","0.004095461609214544"
"17250","17250","17250","17250","0.0020825253831222653","0.0020825253831222653","0.0020825253831222653","17250","17250","17250","0.010979290802404285","0.010979290802404285","0.010979290802404285","17250","17250","17250","0.027735144820809365","0.027735144820809365","0.027735144820809365","17250","17250","17250","0.00414031631834805","0.00414031631834805","0.00414031631834805"
"17500","17500","17500","17500","0.002123015285655856","0.002123015285655856","0.002123015285655856","17500","17500","17500","0.010816017819941045","0.010816017819941045","0.010816017819941045","17500","17500","17500","0.026895766389369965","0.026895766389369965","0.026895766389369965","17500","17500","17500","0.004064893846958875","0.004064893846958875","0.004064893846958875"
"17750","17750","17750","17750","0.0020517692698165772","0.0020517692698165772","0.0020517692698165772","17750","17750","17750","0.0109064940482378","0.0109064940482378","0.0109064940482378","17750","17750","17750","0.026958255821466447","0.026958255821466447","0.026958255821466447","17750","17750","17750","0.004048516288772225","0.004048516288772225","0.004048516288772225"
"18000","18000","18000","18000","0.0020493352696299553","0.0020493352696299553","0.0020493352696299553","18000","18000","18000","0.010665813758969307","0.010665813758969307","0.010665813758969307","18000","18000","18000","0.026179721785336733","0.026179721785336733","0.026179721785336733","18000","18000","18000","0.003968680276721716","0.003968680276721716","0.003968680276721716"
"18250","18250","18250","18250","0.0020314351676031946","0.0020314351676031946","0.0020314351676031946","18250","18250","18250","0.012852995125949384","0.012852995125949384","0.012852995125949384","18250","18250","18250","0.0276370447576046","0.0276370447576046","0.0276370447576046","18250","18250","18250","0.003965233308076859","0.003965233308076859","0.003965233308076859"
"18500","18500","18500","18500","0.0035109637342393397","0.0035109637342393397","0.0035109637342393397","18500","18500","18500","0.011070089510083198","0.011070089510083198","0.011070089510083198","18500","18500","18500","0.026206775230169295","0.026206775230169295","0.026206775230169295","18500","18500","18500","0.00429141852594912","0.00429141852594912","0.00429141852594912"
"18750","18750","18750","18750","0.002302667224034667","0.002302667224034667","0.002302667224034667","18750","18750","18750","0.010616973916441202","0.010616973916441202","0.010616973916441202","18750","18750","18750","0.026111007428169252","0.026111007428169252","0.026111007428169252","18750","18750","18750","0.003901032013446093","0.003901032013446093","0.003901032013446093"
"19000","19000","19000","19000","0.0021724302979186177","0.0021724302979186177","0.0021724302979186177","19000","19000","19000","0.011114141615480185","0.011114141615480185","0.011114141615480185","19000","19000","19000","0.02532908007800579","0.02532908007800579","0.02532908007800579","19000","19000","19000","0.003835240139067173","0.003835240139067173","0.003835240139067173"
"19250","19250","19250","19250","0.0021235791938379405","0.0021235791938379405","0.0021235791938379405","19250","19250","19250","0.010667911557853222","0.010667911557853222","0.010667911557853222","19250","19250","19250","0.025328752171993256","0.025328752171993256","0.025328752171993256","19250","19250","19250","0.0038414468932896854","0.0038414468932896854","0.0038414468932896854"
"19500","19500","19500","19500","0.002103426363877952","0.002103426363877952","0.002103426363877952","19500","19500","19500","0.010649318651109935","0.010649318651109935","0.010649318651109935","19500","19500","19500","0.02454153288900852","0.02454153288900852","0.02454153288900852","19500","19500","19500","0.0037836920380592345","0.0037836920380592345","0.0037836920380592345"
"19750","19750","19750","19750","0.002084010170027614","0.002084010170027614","0.002084010170027614","19750","19750","19750","0.01396650781482458","0.01396650781482458","0.01396650781482458","19750","19750","19750","0.0240812481418252","0.0240812481418252","0.0240812481418252","19750","19750","19750","0.0037581545885652305","0.0037581545885652305","0.0037581545885652305"
"20000","20000","20000","20000","0.0020554850084707143","0.0020554850084707143","0.0020554850084707143","20000","20000","20000","0.010473570676147938","0.010473570676147938","0.010473570676147938","20000","20000","20000","0.023772398434579373","0.023772398434579373","0.023772398434579373","20000","20000","20000","0.0037519168462604286","0.0037519168462604286","0.0037519168462604286"
"20250","20250","20250","20250","0.002043266574665904","0.002043266574665904","0.002043266574665904","20250","20250","20250","0.010528586206585169","0.010528586206585169","0.010528586206585169","20250","20250","20250","0.023300949651002885","0.023300949651002885","0.023300949651002885","20250","20250","20250","0.003709483153000474","0.003709483153000474","0.003709483153000474"
"20500","20500","20500","20500","0.002033633572049439","0.002033633572049439","0.002033633572049439","20500","20500","20500","0.011402386426180602","0.011402386426180602","0.011402386426180602","20500","20500","20500","0.022935918390750886","0.022935918390750886","0.022935918390750886","20500","20500","20500","0.0036945837914943696","0.0036945837914943696","0.0036945837914943696"
"20750","20750","20750","20750","0.0020347628120332955","0.0020347628120332955","0.0020347628120332955","20750","20750","20750","0.010359164349734783","0.010359164349734783","0.010359164349734783","20750","20750","20750","0.02359058605879545","0.02359058605879545","0.02359058605879545","20750","20750","20750","0.0036940572414547205","0.0036940572414547205","0.0036940572414547205"
"21000","21000","21000","21000","0.0020136581445112825","0.0020136581445112825","0.0020136581445112825","21000","21000","21000","0.011505191461741924","0.011505191461741924","0.011505191461741924","21000","21000","21000","0.03552990900427103","0.03552990900427103","0.03552990900427103","21000","21000","21000","0.003667493632808328","0.003667493632808328","0.003667493632808328"
"21250","21250","21250","21250","0.001995072098262608","0.001995072098262608","0.001995072098262608","21250","21250","21250","0.010302288971841335","0.010302288971841335","0.010302288971841335","21250","21250","21250","0.0253637335434556","0.0253637335434556","0.0253637335434556","21250","21250","21250","0.003627734473720193","0.003627734473720193","0.003627734473720193"
"21500","21500","21500","21500","0.0021404485309496524","0.0021404485309496524","0.0021404485309496524","21500","21500","21500","0.012387084303796292","0.012387084303796292","0.012387084303796292","21500","21500","21500","0.02228226565718651","0.02228226565718651","0.02228226565718651","21500","21500","21500","0.003626974707096815","0.003626974707096815","0.003626974707096815"
"21750","21750","21750","21750","0.0019855567906051875","0.0019855567906051875","0.0019855567906051875","21750","21750","21750","0.010535368175804615","0.010535368175804615","0.010535368175804615","21750","21750","21750","0.021445287129282953","0.021445287129282953","0.021445287129282953","21750","21750","21750","0.003558247509971261","0.003558247509971261","0.003558247509971261"
"22000","22000","22000","22000","0.0019775411501526835","0.0019775411501526835","0.0019775411501526835","22000","22000","22000","0.010291910780966283","0.010291910780966283","0.010291910780966283","22000","22000","22000","0.021417482374608516","0.021417482374608516","0.021417482374608516","22000","22000","22000","0.0035015986051410435","0.0035015986051410435","0.0035015986051410435"
